date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:35	108/108	---M--	200	added ('OK')	text/plain	etag:%229c8a8949371d0f02c462e576e3d15787%22	https://writter.electronthemes-ghost.com/robots.txt		(from )
18:00:35	36661/36661	---MCZ	200	added ('OK')	text/html	etag:W/%228f35-Qj/sgH1rG11PMfRLdwtRN1NGd9w%22	https://writter.electronthemes-ghost.com/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/index.html	(from )
18:00:36	63/63	---MCZ	302	error ('Found')	text/plain	date:Tue,%2010%20Aug%202021%2012:00:37%20GMT	https://unpkg.com/@tryghost/portal@~1.1.0/umd/portal.min.js	C:/My%20Web%20Sites/turji/unpkg.com/@tryghost/portal@_1.1.0/umd/portal.min.1.delayed	(from https://writter.electronthemes-ghost.com/)
18:00:36	327988/327988	---MCZ	200	added ('OK')	text/css	etag:W/%2250134-1792dfd94be%22	https://writter.electronthemes-ghost.com/assets/css/theme.css?v=72c601f004	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/assets/css/theme77fc.css	(from https://writter.electronthemes-ghost.com/)
18:00:36	319129/319129	---MCZ	200	added ('OK')	application/javascript	etag:%224de99-CE4NIgfA+IHyEFxTYpKX/sYSNHA%22	https://unpkg.com/@tryghost/portal@1.1.1/umd/portal.min.js	C:/My%20Web%20Sites/turji/unpkg.com/@tryghost/portal@1.1.1/umd/portal.min.js	(from https://writter.electronthemes-ghost.com/)
18:00:37	34325/34325	---MCZ	200	added ('OK')	text/html	etag:W/%228615-B48K402bsDU34w/FbEK2xZgBLxA%22	https://writter.electronthemes-ghost.com/page/2/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/page/2/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:37	56667/56667	---MCZ	200	added ('OK')	text/xml	etag:W/%22dd5b-6USdydpGIemNc83Y6g0j9UQ78uo%22	https://writter.electronthemes-ghost.com/rss/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/rss/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:37	21683/21683	---MCZ	200	added ('OK')	text/html	etag:W/%2254b3-IxdUtzo5WZM2VkBz8tbs5KH3L0o%22	https://writter.electronthemes-ghost.com/authors/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/authors/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:39	223751/223751	---M--	200	added ('OK')	image/jpeg	etag:W/%2236a07-1792df3f91f%22	https://writter.electronthemes-ghost.com/content/images/2018/09/photo-1500989145603-8e7ef71d639e-1.jpeg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/2018/09/photo-1500989145603-8e7ef71d639e-1.jpg	(from https://writter.electronthemes-ghost.com/)
18:00:39	27145/27145	---MCZ	200	added ('OK')	text/html	etag:W/%226a09-mor0YBZc6yHOenTePnNDVTeg1OA%22	https://writter.electronthemes-ghost.com/tags/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/tags/index.html	(from https://writter.electronthemes-ghost.com/)
